,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.08723,0.20319,0.14269,0.21649,0.29794,0.28082,corporate,0.21142,2020
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.14691,0.15980,0.09590,0.17348,0.25971,0.24156,corporate,0.44461,2020
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.28440,0.07257,-0.00086,0.07440,0.18285,0.16040,corporate,0.73370,2020
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.27408,0.07126,-0.00017,0.08184,0.18170,0.16098,corporate,0.75884,2020
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.19120,0.12556,0.05981,0.14156,0.22954,0.21129,corporate,0.50322,2020
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.17540,0.14283,0.07702,0.15295,0.24475,0.22573,corporate,0.41382,2020
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.31305,0.05877,-0.01727,0.05375,0.17069,0.14663,corporate,0.73011,2020
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.23050,0.10243,0.03352,0.11324,0.20916,0.18923,corporate,0.63013,2020
8,Construction,167674309864.62842,2300,Construction,-0.18372,0.13260,0.06694,0.14695,0.23574,0.21727,corporate,0.49000,2020
9,Educational services,321852356259.17963,6100,Educational services,-0.14363,0.16772,0.10281,0.17584,0.26669,0.24736,corporate,0.43609,2020
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.21979,0.10879,0.04045,0.12096,0.21476,0.19505,corporate,0.67760,2020
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.13515,0.17155,0.10786,0.18195,0.27006,0.25160,corporate,0.34638,2020
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.18293,0.13844,0.07168,0.14752,0.24089,0.22125,corporate,0.55133,2020
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.08287,0.20593,0.14554,0.21963,0.30035,0.28321,corporate,0.25725,2020
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.19107,0.12977,0.06293,0.14165,0.23325,0.21391,corporate,0.60069,2020
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.15777,0.15638,0.09090,0.16565,0.25669,0.23737,corporate,0.47882,2020
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.15731,0.15480,0.08964,0.16599,0.25530,0.23631,corporate,0.51025,2020
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.15999,0.15187,0.08683,0.16406,0.25272,0.23395,corporate,0.50703,2020
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.36322,0.03565,-0.04497,0.01760,0.15032,0.12339,corporate,0.73766,2020
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.47180,-0.03393,-0.12178,-0.06065,0.08901,0.05896,corporate,0.90177,2020
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.34966,0.02278,-0.05380,0.02737,0.13898,0.11599,corporate,0.90475,2020
21,Information and data processing services,118194411065.82817,5140,Information,-0.41631,0.00028,-0.08373,-0.02066,0.11916,0.09088,corporate,0.86760,2020
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.15346,0.16096,0.09575,0.16876,0.26073,0.24144,corporate,0.41492,2020
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.17092,0.13957,0.07488,0.15618,0.24189,0.22394,corporate,0.51885,2020
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.14859,0.15397,0.09069,0.17227,0.25457,0.23719,corporate,0.51632,2020
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.10377,0.18353,0.12332,0.20457,0.28061,0.26457,corporate,0.34188,2020
26,Wood products,45996624948.83839,3210,Manufacturing,-0.14065,0.16100,0.09806,0.17799,0.26076,0.24338,corporate,0.43442,2020
27,Paper products,129541595783.22841,3220,Manufacturing,-0.22329,0.10581,0.03753,0.11843,0.21213,0.19260,corporate,0.64385,2020
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.23260,0.10056,0.03150,0.11173,0.20752,0.18754,corporate,0.67485,2020
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.15337,0.15577,0.09164,0.16882,0.25616,0.23799,corporate,0.38115,2020
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.32885,0.04569,-0.03084,0.04236,0.15917,0.13524,corporate,0.74409,2020
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.21353,0.11227,0.04466,0.12547,0.21783,0.19858,corporate,0.60857,2020
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.16822,0.14503,0.08000,0.15812,0.24670,0.22823,corporate,0.45804,2020
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.17534,0.13510,0.07033,0.15299,0.23794,0.22012,corporate,0.55740,2020
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.19819,0.12072,0.05436,0.13653,0.22528,0.20672,corporate,0.59594,2020
35,Machinery,272319888399.54382,3330,Manufacturing,-0.22447,0.10760,0.03891,0.11759,0.21372,0.19376,corporate,0.59353,2020
