,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,-0.37479,0.00000,-0.07726,0.00413,0.11890,0.09524,corporate,0.19506,1.00000,2021
226,Equipment,4571425640406.57031,-0.35069,0.00000,-0.07331,0.02227,0.11871,0.09855,corporate,0.19525,1.00000,2022
226,Equipment,4571425640406.57031,-0.30071,0.03332,-0.03692,0.05891,0.14794,0.12910,corporate,0.19700,0.96235,2023
226,Equipment,4571425640406.57031,-0.25431,0.06449,-0.00292,0.09337,0.17550,0.15791,corporate,0.19875,0.92470,2024
226,Equipment,4571425640406.57031,-0.21110,0.09372,0.02892,0.12555,0.20144,0.18499,corporate,0.20050,0.88705,2025
226,Equipment,4571425640406.57031,-0.17077,0.12117,0.05880,0.18537,0.23129,0.22103,corporate,0.20225,0.84939,2026
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21266,0.25405,0.24463,corporate,0.20400,0.81174,2027
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21377,0.25405,0.24486,corporate,0.20400,0.81174,2028
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21458,0.25425,0.24520,corporate,0.20400,0.81174,2029
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21591,0.25450,0.24567,corporate,0.20400,0.81174,2030
201,Intellectual Property,1681853383295.78247,-0.67433,-0.12490,-0.23119,-0.21285,0.00886,-0.03403,corporate,0.21991,1.00000,2021
201,Intellectual Property,1681853383295.78247,-0.36136,0.03450,-0.04615,0.01455,0.14911,0.12136,corporate,0.22760,0.88224,2022
201,Intellectual Property,1681853383295.78247,-0.34248,0.04720,-0.03224,0.02869,0.16017,0.13303,corporate,0.22829,0.86765,2023
201,Intellectual Property,1681853383295.78247,-0.32411,0.05956,-0.01869,0.04291,0.17116,0.14467,corporate,0.22898,0.85307,2024
201,Intellectual Property,1681853383295.78247,-0.30625,0.07162,-0.00549,0.05685,0.18197,0.15611,corporate,0.22967,0.83848,2025
201,Intellectual Property,1681853383295.78247,-0.28885,0.08336,0.00737,0.10320,0.19822,0.17846,corporate,0.23036,0.82390,2026
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11615,0.20841,0.18920,corporate,0.23105,0.80931,2027
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11740,0.20840,0.18945,corporate,0.23105,0.80931,2028
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11831,0.20862,0.18981,corporate,0.23105,0.80931,2029
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11980,0.20888,0.19032,corporate,0.23105,0.80931,2030
64,Inventories,1540550422356.87988,-0.00948,0.24012,0.18735,0.26875,0.33048,0.31749,corporate,0.06586,0.00000,2021
