,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
226,Equipment,4571425640406.57031,-0.57107,0.00000,-0.10574,-0.08943,0.18332,0.13282,corporate,1.00000,2020
226,Equipment,4571425640406.57031,-0.52948,0.00000,-0.10020,-0.06041,0.18242,0.13646,corporate,1.00000,2021
226,Equipment,4571425640406.57031,-0.44511,0.04801,-0.04629,-0.00134,0.22162,0.17885,corporate,0.96286,2022
226,Equipment,4571425640406.57031,-0.36956,0.09162,0.00259,0.05216,0.25703,0.21723,corporate,0.92573,2023
226,Equipment,4571425640406.57031,-0.30152,0.13141,0.04710,0.09954,0.28965,0.25228,corporate,0.88859,2024
226,Equipment,4571425640406.57031,-0.23992,0.16786,0.08781,0.15862,0.32023,0.28803,corporate,0.85145,2025
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19751,0.34763,0.31738,corporate,0.81432,2026
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19855,0.34750,0.31748,corporate,0.81432,2027
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19946,0.34755,0.31770,corporate,0.81432,2028
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.20064,0.34768,0.31804,corporate,0.81432,2029
201,Intellectual Property,1681853383295.78247,-1.01423,-0.13872,-0.28575,-0.39674,0.07003,-0.00836,corporate,1.00000,2020
201,Intellectual Property,1681853383295.78247,-0.46737,0.08498,-0.01683,-0.01736,0.25190,0.20190,corporate,0.88396,2021
201,Intellectual Property,1681853383295.78247,-0.43908,0.10159,0.00184,0.00283,0.26543,0.21662,corporate,0.86963,2022
201,Intellectual Property,1681853383295.78247,-0.41186,0.11760,0.01984,0.02289,0.27828,0.23077,corporate,0.85529,2023
201,Intellectual Property,1681853383295.78247,-0.38564,0.13305,0.03720,0.04134,0.29099,0.24451,corporate,0.84095,2024
201,Intellectual Property,1681853383295.78247,-0.36039,0.14796,0.05396,0.07688,0.30398,0.26161,corporate,0.82662,2025
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.09438,0.31577,0.27444,corporate,0.81228,2026
