,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.12817,0.27172,0.19631,0.21559,0.45727,0.41163,corporate,0.21364,2021
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.21231,0.21770,0.13657,0.15709,0.41701,0.36789,corporate,0.44678,2021
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.41189,0.10800,0.01179,0.01832,0.33526,0.27654,corporate,0.73508,2021
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.40593,0.10108,0.00661,0.02246,0.33010,0.27275,corporate,0.75951,2021
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.27709,0.17349,0.08898,0.11205,0.38406,0.33306,corporate,0.50322,2021
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.25701,0.19598,0.11162,0.12601,0.40082,0.34963,corporate,0.41432,2021
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.45185,0.09286,-0.00704,-0.00946,0.32398,0.26275,corporate,0.73139,2021
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.33873,0.14311,0.05322,0.06919,0.36142,0.30687,corporate,0.63093,2021
8,Construction,167674309864.62842,2300,Construction,-0.26621,0.18286,0.09864,0.11961,0.39105,0.34013,corporate,0.49054,2021
9,Educational services,321852356259.17963,6100,Educational services,-0.20659,0.22880,0.14658,0.16107,0.42529,0.37522,corporate,0.44002,2021
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.31890,0.15219,0.06354,0.08298,0.36819,0.31443,corporate,0.67969,2021
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.19368,0.23383,0.15358,0.17004,0.42903,0.38034,corporate,0.34840,2021
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.25894,0.19321,0.10815,0.12467,0.39876,0.34709,corporate,0.55415,2021
