,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,corporate,0.19378,1.00000,2021
226,Equipment,4571425640406.57031,-0.52948,0.00000,-0.10020,-0.06304,0.18169,0.13538,corporate,0.19403,1.00000,2022
226,Equipment,4571425640406.57031,-0.44511,0.04801,-0.04629,-0.00391,0.22094,0.17781,corporate,0.19653,0.96286,2023
226,Equipment,4571425640406.57031,-0.36956,0.09162,0.00259,0.04963,0.25627,0.21613,corporate,0.19904,0.92573,2024
226,Equipment,4571425640406.57031,-0.30152,0.13141,0.04710,0.09737,0.28900,0.25133,corporate,0.20155,0.88859,2025
226,Equipment,4571425640406.57031,-0.23992,0.16786,0.08781,0.15880,0.32096,0.28865,corporate,0.20405,0.85145,2026
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19762,0.34832,0.31797,corporate,0.20656,0.81432,2027
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19850,0.34820,0.31804,corporate,0.20656,0.81432,2028
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19934,0.34821,0.31821,corporate,0.20656,0.81432,2029
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.20075,0.34838,0.31862,corporate,0.20656,0.81432,2030
201,Intellectual Property,1681853383295.78247,-1.01423,-0.13872,-0.28575,-0.40048,0.06889,-0.00993,corporate,0.21807,1.00000,2021
201,Intellectual Property,1681853383295.78247,-0.46737,0.08498,-0.01683,-0.01988,0.25123,0.20090,corporate,0.22908,0.88396,2022
201,Intellectual Property,1681853383295.78247,-0.43908,0.10159,0.00184,0.00028,0.26479,0.21563,corporate,0.23006,0.86963,2023
201,Intellectual Property,1681853383295.78247,-0.41186,0.11760,0.01984,0.02029,0.27754,0.22969,corporate,0.23104,0.85529,2024
201,Intellectual Property,1681853383295.78247,-0.38564,0.13305,0.03720,0.03903,0.29034,0.24356,corporate,0.23203,0.84095,2025
201,Intellectual Property,1681853383295.78247,-0.36039,0.14796,0.05396,0.07707,0.30473,0.26226,corporate,0.23301,0.82662,2026
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.09451,0.31651,0.27506,corporate,0.23400,0.81228,2027
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.09550,0.31637,0.27513,corporate,0.23400,0.81228,2028
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.09644,0.31638,0.27531,corporate,0.23400,0.81228,2029
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.09804,0.31656,0.27575,corporate,0.23400,0.81228,2030
64,Inventories,1540550422356.87988,-0.01362,0.31583,0.25204,0.29524,0.44057,0.41249,corporate,0.07155,0.00000,2021
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31217,0.44014,0.41494,corporate,0.07189,0.00000,2022
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31251,0.44012,0.41499,corporate,0.07189,0.00000,2023
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31328,0.43984,0.41492,corporate,0.07189,0.00000,2024
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31367,0.43996,0.41510,corporate,0.07189,0.00000,2025
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.32860,0.44171,0.41945,corporate,0.07189,0.00000,2026
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.32928,0.44173,0.41960,corporate,0.07189,0.00000,2027
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.33002,0.44162,0.41966,corporate,0.07189,0.00000,2028
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.33072,0.44162,0.41980,corporate,0.07189,0.00000,2029
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.33190,0.44177,0.42015,corporate,0.07189,0.00000,2030
65,Land,3586505862665.65332,-0.13117,0.28000,0.20387,0.21351,0.41127,0.37465,corporate,0.06723,0.00000,2021
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23461,0.41082,0.37747,corporate,0.06756,0.00000,2022
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23499,0.41079,0.37752,corporate,0.06756,0.00000,2023
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23584,0.41051,0.37745,corporate,0.06756,0.00000,2024
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23628,0.41063,0.37764,corporate,0.06756,0.00000,2025
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.25289,0.41247,0.38227,corporate,0.06756,0.00000,2026
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.25365,0.41249,0.38243,corporate,0.06756,0.00000,2027
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.25447,0.41237,0.38249,corporate,0.06756,0.00000,2028
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.25524,0.41238,0.38264,corporate,0.06756,0.00000,2029
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.25656,0.41253,0.38302,corporate,0.06756,0.00000,2030
236,Overall,20307631130712.19531,-0.31747,0.15729,0.06864,0.08397,0.31093,0.26843,corporate,0.11908,0.58850,2021
236,Overall,20307631130712.19531,-0.26051,0.16973,0.08739,0.12390,0.32058,0.28280,corporate,0.12026,0.57866,2022
236,Overall,20307631130712.19531,-0.23869,0.18316,0.10220,0.13949,0.33154,0.29449,corporate,0.12123,0.55888,2023
236,Overall,20307631130712.19531,-0.21761,0.19616,0.11654,0.15508,0.34186,0.30568,corporate,0.12220,0.53910,2024
236,Overall,20307631130712.19531,-0.19723,0.20876,0.13043,0.16970,0.35231,0.31680,corporate,0.12316,0.51931,2025
236,Overall,20307631130712.19531,-0.17753,0.22096,0.14388,0.20112,0.36429,0.33238,corporate,0.12413,0.49953,2026
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.21486,0.37397,0.34272,corporate,0.12510,0.47974,2027
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.21572,0.37385,0.34279,corporate,0.12510,0.47974,2028
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.21653,0.37385,0.34295,corporate,0.12510,0.47974,2029
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.21792,0.37402,0.34335,corporate,0.12510,0.47974,2030
230,Structures,8927295821987.31055,-0.27919,0.17466,0.08881,0.11059,0.32514,0.28427,corporate,0.09121,0.63823,2021
230,Structures,8927295821987.31055,-0.24648,0.17466,0.09332,0.13365,0.32462,0.28746,corporate,0.09151,0.63773,2022
